word,hunspell_valid,source_candidates_count,example_candidates,models,source_adapters,prompt_strategies,target_classes,text_types,priority,review_reason,manual_hjp_valid,reviewer_notes
tješiteljica,yes,1,tješiteljica,ChatGPT Plus,manual_csv,paper_style,SV,word,high,rare_phoneme_word,,
traje,yes,4,Kadar traje kratak čas.; Kratak kadar traje.; Kadar radara traje.,ChatGPT Plus,manual_csv,paper_style,S,sentence,medium,high_frequency_word,,
traži,yes,5,Radar traži kadar.; Rak traži kadar.; Rad traži kadar.; Radar traži draž.; Dijete traži četku.,ChatGPT Plus,manual_csv,paper_style,S; SV,sentence,high,rare_phoneme_word,,
trešnja,yes,3,trešnja,ChatGPT Plus,manual_csv,paper_style,SV,word,high,rare_phoneme_word,,
trešnje,yes,3,Teta jede trešnje.; Tete jedu trešnje.; Dijete jede trešnje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,high,rare_phoneme_word,,
ulov,yes,3,ulov,ChatGPT Plus,manual_csv,paper_style,SN,word,medium,high_frequency_word,,
um,yes,1,um,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
umu,yes,1,umu,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
unuk,yes,12,unuk; Unuk puni bocu.; Unuk nosi bundu.; Unuk pomaže mami.; Unuk puni punu pumpu.,ChatGPT Plus,manual_csv,paper_style,N,word; sentence,medium,high_frequency_word,,
unuku,yes,3,Mama pomaže unuku.; Bubanj puno pomaže unuku.; Puna bunda pomaže unuku.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
vise,yes,5,Sivi psi vise.; Sin i zec vise.; Sin i psi vise.; Psi i zec vise.; Sivi svisci vise.,ChatGPT Plus,manual_csv,paper_style,V,sentence,medium,high_frequency_word,,
visi,yes,4,visi; Sin visi iza zida.; Sivi zec visi.,ChatGPT Plus,manual_csv,paper_style,V,word; sentence,medium,high_frequency_word,,
visina,yes,3,visina,ChatGPT Plus,manual_csv,paper_style,V,word,medium,high_frequency_word,,
vlaga,yes,3,vlaga,ChatGPT Plus,manual_csv,paper_style,SN,word,medium,high_frequency_word,,
vlagu,yes,4,Glog voli vlagu.; Lovor voli vlagu.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,medium,high_frequency_word,,
vogal,no,4,vogal,ChatGPT Plus,manual_csv,paper_style,SN,word,high,hunspell_invalid_technical_candidate,,
vol,yes,17,vol; Vol voli glog.; Vol gleda goluba.; Vol voli lovora.; Vol voli lovor.,ChatGPT Plus,manual_csv,paper_style,SN,word; sentence,medium,high_frequency_word,,
vola,yes,4,Golub gleda vola.; Vola gleda golub.; Golog vola vole.; Golog vola love.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,medium,high_frequency_word,,
vole,yes,1,Golog vola vole.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
voli,yes,26,Golub voli lovor.; Golub voli glog.; Golub voli goluba.; Lovac voli lov.; Vol voli glog.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,medium,high_frequency_word,,
volju,yes,1,Golub voli volju.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,high,rare_phoneme_word,,
vuk,yes,1,Vuk voli lov.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
vuka,yes,1,Lovac lovi vuka.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
zec,yes,22,zec; Sivi zec sjedi.; Sin i zec sjede.; Sivi zec visi.; Zec i sin sjede.,ChatGPT Plus,manual_csv,paper_style,V,word; sentence,medium,high_frequency_word,,
zici,no,1,zici,ChatGPT Plus,manual_csv,paper_style,V,word,high,hunspell_invalid_technical_candidate,,
zid,yes,2,zid,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
zida,yes,7,Sin visi iza zida.; Sin sjedi iza zida.; Zec sjedi iza zida.; Psi sjede iza zida.; Sin sije iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,medium,high_frequency_word,,
zidar,yes,1,zidar,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
zijeva,yes,1,Sivi zec zijeva.,ChatGPT Plus,manual_csv,paper_style,V,sentence,low,hunspell_valid_or_not_screened,,
zijevaju,yes,1,Sivi psi zijevaju.,ChatGPT Plus,manual_csv,paper_style,V,sentence,low,hunspell_valid_or_not_screened,,
zima,yes,2,zima,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
čas,yes,2,Kadar traje kratak čas.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
ček,yes,1,ček,ChatGPT Plus,manual_csv,paper_style,SV,word,low,hunspell_valid_or_not_screened,,
čeka,yes,4,Rak čeka kraj kamara.; Radar čeka kadar.; Četka čeka tetu.; Teta čeka dijete.,ChatGPT Plus,manual_csv,paper_style,S; SV,sentence,medium,high_frequency_word,,
čekaju,yes,1,Dječje četke čekaju.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
čekati,yes,2,čekati,ChatGPT Plus,manual_csv,paper_style,SV,word,low,hunspell_valid_or_not_screened,,
čete,yes,2,čete,ChatGPT Plus,manual_csv,paper_style,SV,word,low,hunspell_valid_or_not_screened,,
četka,yes,6,četka; Četka čeka tetu.; Teta četka janje.; Četka je čista.,ChatGPT Plus,manual_csv,paper_style,SV,word; sentence,medium,high_frequency_word,,
četke,yes,1,Dječje četke čekaju.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
četku,yes,2,Teta čisti četku.; Dijete traži četku.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
četvrta,yes,1,Teta je četvrta.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
četvrtak,yes,2,četvrtak,ChatGPT Plus,manual_csv,paper_style,SV,word,low,hunspell_valid_or_not_screened,,
četvrtkom,yes,2,Tečaj teče četvrtkom.; Teta čita četvrtkom.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
češće,yes,12,češće; Teta češće šije.; Teta teče češće.; Tete češće šije.; Tečaj teče češće.,ChatGPT Plus,manual_csv,paper_style,SV,word; sentence,medium,high_frequency_word,,
čista,yes,1,Četka je čista.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
čisti,yes,1,Teta čisti četku.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
čita,yes,6,Teta čita teze.; Teta čita test.; Dijete čita tekst.; Tezej čita teze.; Dječak čita test.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,medium,high_frequency_word,,
čuje,yes,5,Tečaje češće čuje.; Teta čuje tečaje.; Dijete čuje tetu.; Teta šetnje čuje.; Teta češće čuje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,medium,high_frequency_word,,
šeta,yes,1,Dijete šeta cestom.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
šetač,yes,1,šetač,ChatGPT Plus,manual_csv,paper_style,SV,word,low,hunspell_valid_or_not_screened,,
šete,no,1,šete,ChatGPT Plus,manual_csv,paper_style,SV,word,high,hunspell_invalid_technical_candidate,,
šetnja,yes,3,šetnja,ChatGPT Plus,manual_csv,paper_style,SV,word,high,rare_phoneme_word,,
šetnje,yes,2,Tete šetnje teče.; Teta šetnje čuje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,high,rare_phoneme_word,,
šeće,yes,2,šeće; Teta šeće cestom.,ChatGPT Plus,manual_csv,paper_style,SV,word; sentence,low,hunspell_valid_or_not_screened,,
šije,yes,5,Teta šije jelek.; Teta češće šije.; Tete češće šije.; Dijete češće šije.; Dijete šije češće.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,medium,high_frequency_word,,
štedje,no,1,Teta štedje jetru.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,high,hunspell_invalid_technical_candidate,,
štedjeti,yes,4,štedjeti,ChatGPT Plus,manual_csv,paper_style,SV,word,medium,high_frequency_word,,
šteđe,no,1,Teta šteđe tečaje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,high,hunspell_invalid_technical_candidate;rare_phoneme_word,,
žar,yes,3,žar,ChatGPT Plus,manual_csv,paper_style,S,word,high,rare_phoneme_word,,
